target_age,rate,metric,g1,g2,t,p,p_bh,m1,cil_1,ciu_1,m2,cil_2,ciu_2
0-20,0.1,auroc,All,80+,-1.2902221441011124,0.2330147455271831,0.3495221182907746,0.8554543939529988,0.846441442481631,0.8644673454243667,0.8675438596491227,0.8538112340734427,0.8812764852248027
0-20,0.25,auroc,All,0-20,-4.934677806226433,0.001142689956277463,0.003951406370533233,0.8572830073939741,0.8500335436554697,0.8645324711324786,0.8911849056603774,0.8815674789669795,0.9008023323537754
0-20,0.25,auroc,All,20-40,-1.8471115845118646,0.10192741695876063,0.19458870510308848,0.8572830073939741,0.8500335436554697,0.8645324711324786,0.866257421635726,0.8617862863020634,0.8707285569693887
0-20,0.25,auroc,All,40-60,0.579586770923342,0.5781455667605241,0.6390029948405793,0.8572830073939741,0.8500335436554697,0.8645324711324786,0.853660133484732,0.8454430094090961,0.8618772575603679
0-20,0.25,auroc,All,60-80,4.126117350478928,0.0033161378160012226,0.008704861767003209,0.8572830073939741,0.8500335436554697,0.8645324711324786,0.8269527316213494,0.8162990129987696,0.8376064502439292
0-20,0.25,auroc,All,80+,0.3218411652758101,0.7558216765584507,0.7558216765584507,0.8572830073939741,0.8500335436554697,0.8645324711324786,0.8535087719298244,0.8342714149485526,0.8727461289110963
0-20,0.5,auroc,All,0-20,-4.822514474201664,0.001317135456844411,0.003951406370533233,0.8563543881230012,0.8539078968849939,0.8588008793610086,0.8829132075471697,0.8735738597488345,0.892252555345505
0-20,0.5,auroc,All,20-40,-3.1397329174901647,0.013810798171482615,0.04143239451444784,0.8563543881230012,0.8539078968849939,0.8588008793610086,0.864362643669845,0.8606199684399224,0.8681053188997677
0-20,0.5,auroc,All,40-60,-0.6243098514726358,0.5498092288519618,0.6076838845205894,0.8563543881230012,0.8539078968849939,0.8588008793610086,0.8583437361149313,0.8533219368164269,0.8633655354134357
0-20,0.5,auroc,All,60-80,9.25509163767642,1.508232523387169e-05,0.0001948427652366327,0.8563543881230012,0.8539078968849939,0.8588008793610086,0.8232368768882175,0.8174606963883824,0.8290130573880525
0-20,0.5,auroc,All,80+,-0.42234972074570876,0.6838920354605118,0.6838920354605118,0.8563543881230012,0.8539078968849939,0.8588008793610086,0.8618421052631579,0.8391960282839708,0.8844881822423449
0-20,0.75,auroc,All,0-20,-1.1823857041583739,0.27100093171840123,0.41757830023706466,0.8591585982436147,0.8499349616161488,0.8683822348710807,0.8729610062893082,0.8546936461124176,0.8912283664661987
0-20,0.75,auroc,All,20-40,-1.782715027790187,0.11248350903457986,0.19684614081051477,0.8591585982436147,0.8499349616161488,0.8683822348710807,0.8702386981329552,0.8644386429084748,0.8760387533574355
